Date,Time ,Price
21-Apr-25,오전 8:48:00,1417.965
21-Apr-25,오전 8:47:00,1418
21-Apr-25,오전 8:46:00,1418.07
21-Apr-25,오전 8:45:00,1418.06
21-Apr-25,오전 8:44:00,1418.08
21-Apr-25,오전 8:43:00,1418.095
21-Apr-25,오전 8:42:00,1418.14
21-Apr-25,오전 8:41:00,1418.14
21-Apr-25,오전 8:40:00,1418.23
21-Apr-25,오전 8:39:00,1418.18
21-Apr-25,오전 8:38:00,1418.39
21-Apr-25,오전 8:37:00,1417.93
21-Apr-25,오전 8:36:00,1417.96
21-Apr-25,오전 8:35:00,1417.94
21-Apr-25,오전 8:34:00,1418.195
21-Apr-25,오전 8:33:00,1417.785
21-Apr-25,오전 8:32:00,1418.12
21-Apr-25,오전 8:31:00,1417.905
21-Apr-25,오전 8:30:00,1418.12
21-Apr-25,오전 8:29:00,1418.43
21-Apr-25,오전 8:28:00,1418.325
21-Apr-25,오전 8:27:00,1418.365
21-Apr-25,오전 8:26:00,1418.34
21-Apr-25,오전 8:25:00,1418.29
21-Apr-25,오전 8:24:00,1418.31
21-Apr-25,오전 8:23:00,1418.5
21-Apr-25,오전 8:22:00,1418.34
21-Apr-25,오전 8:21:00,1418.39
21-Apr-25,오전 8:20:00,1418.195
21-Apr-25,오전 8:19:00,1417.8
21-Apr-25,오전 8:18:00,1418.865
21-Apr-25,오전 8:17:00,1419.283
21-Apr-25,오전 8:16:00,1419.19
21-Apr-25,오전 8:15:00,1419.365
21-Apr-25,오전 8:14:00,1419.4
21-Apr-25,오전 8:13:00,1419.385
21-Apr-25,오전 8:12:00,1419.39
21-Apr-25,오전 8:11:00,1419.4
21-Apr-25,오전 8:10:00,1419.49
21-Apr-25,오전 8:09:00,1419.505
21-Apr-25,오전 8:08:00,1419.46
21-Apr-25,오전 8:07:00,1419.405
21-Apr-25,오전 8:06:00,1419.425
21-Apr-25,오전 8:05:00,1419.55
21-Apr-25,오전 8:04:00,1419.178
21-Apr-25,오전 8:03:00,1419.4
21-Apr-25,오전 8:02:00,1419.63
21-Apr-25,오전 8:01:00,1419.595
21-Apr-25,오전 8:00:00,1419.96
21-Apr-25,오전 7:59:00,1419.815
21-Apr-25,오전 7:58:00,1419.775
21-Apr-25,오전 7:57:00,1419.915
21-Apr-25,오전 7:56:00,1419.745
21-Apr-25,오전 7:55:00,1419.75
21-Apr-25,오전 7:54:00,1419.74
21-Apr-25,오전 7:53:00,1419.74
21-Apr-25,오전 7:52:00,1419.73
21-Apr-25,오전 7:51:00,1419.72
21-Apr-25,오전 7:50:00,1419.74
21-Apr-25,오전 7:49:00,1419.74
21-Apr-25,오전 7:48:00,1419.69
21-Apr-25,오전 7:47:00,1419.69
21-Apr-25,오전 7:46:00,1419.645
21-Apr-25,오전 7:45:00,1419.67
21-Apr-25,오전 7:44:00,1419.61
21-Apr-25,오전 7:43:00,1419.656
21-Apr-25,오전 7:42:00,1419.73
21-Apr-25,오전 7:41:00,1419.73
21-Apr-25,오전 7:40:00,1419.59
21-Apr-25,오전 7:39:00,1419.676
21-Apr-25,오전 7:38:00,1419.71
21-Apr-25,오전 7:37:00,1419.731
21-Apr-25,오전 7:36:00,1419.73
21-Apr-25,오전 7:35:00,1419.76
21-Apr-25,오전 7:34:00,1419.76
21-Apr-25,오전 7:33:00,1419.7
21-Apr-25,오전 7:32:00,1419.76
21-Apr-25,오전 7:31:00,1419.76
21-Apr-25,오전 7:30:00,1419.681
21-Apr-25,오전 7:29:00,1419.62
21-Apr-25,오전 7:28:00,1419.61
21-Apr-25,오전 7:27:00,1419.62
21-Apr-25,오전 7:26:00,1419.79
21-Apr-25,오전 7:25:00,1419.732
21-Apr-25,오전 7:24:00,1419.92
21-Apr-25,오전 7:23:00,1419.86
21-Apr-25,오전 7:22:00,1420.18
21-Apr-25,오전 7:21:00,1420.2
21-Apr-25,오전 7:20:00,1420.15
21-Apr-25,오전 7:19:00,1420.06
21-Apr-25,오전 7:18:00,1420.17
21-Apr-25,오전 7:17:00,1420.086
21-Apr-25,오전 7:16:00,1420.07
21-Apr-25,오전 7:15:00,1420.07
21-Apr-25,오전 7:14:00,1420.08
21-Apr-25,오전 7:13:00,1419.982
21-Apr-25,오전 7:12:00,1420.16
21-Apr-25,오전 7:11:00,1420.09
21-Apr-25,오전 7:10:00,1420.055
21-Apr-25,오전 7:09:00,1420.06
21-Apr-25,오전 7:08:00,1419.725
21-Apr-25,오전 7:07:00,1419.51
21-Apr-25,오전 7:06:00,1419.49
21-Apr-25,오전 7:05:00,1419.49
21-Apr-25,오전 7:04:00,1419.365
21-Apr-25,오전 7:03:00,1418.91
21-Apr-25,오전 7:02:00,1419.05
21-Apr-25,오전 7:01:00,1419.03
21-Apr-25,오전 7:00:00,1419.06
21-Apr-25,오전 6:59:00,1419.225
21-Apr-25,오전 6:58:00,1419.26
21-Apr-25,오전 6:57:00,1419.433
21-Apr-25,오전 6:56:00,1419.62
21-Apr-25,오전 6:55:00,1419.65
21-Apr-25,오전 6:54:00,1419.53
21-Apr-25,오전 6:53:00,1419.47
21-Apr-25,오전 6:52:00,1419.115
